Time,edge,Car Count,Truck Count,Modern Jeep Count,Traditional Jeep Count,Motorbike Count,Bicycle Count,Bus Count
30,29377703#2,7,,,,5,,
40,-29377703#2,5,,,,16,7,
50,303412427#3,,,,,5,,
70,-303412427#3,,,,,,3,
90,303412427#8,4,,,,1,,
150,-303412427#8,2,,,,1,,
170,-303412427#10,2,,,,6,,
220,303412427#9,,,,,1,,
230,303412427#16,,,,,3,,
240,-303412427#16,1,,,,,,
290,303412427#18,,,,,5,,
320,924607337#0,6,,,,4,,
380,615456195,30,,,,56,,
420,615456193#1,17,,,,25,,
450,368461882#0,6,,,,3,,
490,923261416,12,,,,5,,
520,694268909#1,5,,,,,,
530,1176045777,31,,,,36,,
560,4332731,7,,,,,,
590,-4332734#7,24,2,,,48,7,
610,-4332734#1,6,,,,14,,
630,-48630242#3,8,,,,9,,
640,820063578#1,20,,,,70,,
650,-48630242#1,,,,,15,,
700,4243614#1,11,2,,,13,,
720,1018627463,6,,,,11,,
760,1174874706,18,,,,23,3,
790,1156612124,2,,,,11,,
830,161754854#1,6,1,,,15,,
840,332624272,15,,,,22,,
900,119883577#1,10,,,,4,,
1000,119883577#6,36,3,,,42,2,
1090,5019952#4,19,2,,,23,,
1150,704746733#0,13,,,,10,,
1300,-187486758#1,2,,,,2,,